country,admin_1,admin_2,year,season_name,season_type,product,area_planted,quantity_produced,yield
Togo,Centre,Blitta,2016,Annual,Harvest,Rice (Paddy),5708.0,9152.42,1.60343728100911
Togo,Centre,Blitta,2016,Main,Harvest,Beans (mixed),28489.0,12047.14,0.4228698796026537
Togo,Centre,Blitta,2016,Main,Harvest,Cassava,7552.0,34067.07,4.510999735169492
Togo,Centre,Blitta,2016,Main,Harvest,Groundnuts (In Shell),572.0,341.13,0.5963811188811189
Togo,Centre,Blitta,2016,Main,Harvest,Maize (Corn),13452.0,19326.11,1.4366718703538508
Togo,Centre,Blitta,2016,Main,Harvest,Sorghum,13086.0,10820.53,0.8268783432676143
Togo,Centre,Blitta,2016,Main,Harvest,Soybean (unspecified),1697.0,1119.95,0.659958750736594
Togo,Centre,Blitta,2016,Main,Harvest,Yams,4177.0,31243.79,7.479959300933685
Togo,Centre,Blitta,2017,Annual,Harvest,Rice (Paddy),4991.58,6489.05,1.2999991986505277
Togo,Centre,Blitta,2017,Main,Harvest,Beans (mixed),20307.23,10014.81,0.4931647496975215
Togo,Centre,Blitta,2017,Main,Harvest,Cassava,6117.67,28765.08,4.701966598394487
Togo,Centre,Blitta,2017,Main,Harvest,Groundnuts (In Shell),653.21,465.78,0.7130631802942391
Togo,Centre,Blitta,2017,Main,Harvest,Maize (Corn),19710.73,29701.12,1.506850329744256
Togo,Centre,Blitta,2017,Main,Harvest,Sorghum,15823.73,10031.56,0.6339567219612569
Togo,Centre,Blitta,2017,Main,Harvest,Soybean (unspecified),2059.51,1040.05,0.5049987618414088
Togo,Centre,Blitta,2017,Main,Harvest,Yams,3254.17,29163.87,8.961999526761048
Togo,Centre,Blitta,2018,Annual,Harvest,Rice (Paddy),4968.06,6330.64,1.2742680241381947
Togo,Centre,Blitta,2018,Main,Harvest,Beans (mixed),21018.11,9627.08,0.4580373782419066
Togo,Centre,Blitta,2018,Main,Harvest,Cassava,6513.26,28991.43,4.451139675062872
Togo,Centre,Blitta,2018,Main,Harvest,Groundnuts (In Shell),668.34,484.55,0.7250052368554927
Togo,Centre,Blitta,2018,Main,Harvest,Maize (Corn),19317.67,28474.24,1.4739997111452885
Togo,Centre,Blitta,2018,Main,Harvest,Sorghum,15534.99,12750.55,0.8207633220233808
Togo,Centre,Blitta,2018,Main,Harvest,Soybean (unspecified),2361.51,1282.42,0.5430508445867263
Togo,Centre,Blitta,2018,Main,Harvest,Yams,3816.69,30787.59,8.066568151985098
Togo,Centre,Blitta,2019,Annual,Harvest,Rice (Paddy),6790.0,28856.0,4.249779086892489
Togo,Centre,Blitta,2019,Main,Harvest,Bambara groundnut,530.0,346.0,0.6528301886792452
Togo,Centre,Blitta,2019,Main,Harvest,Beans (mixed),21016.0,9260.0,0.4406166730110392
Togo,Centre,Blitta,2019,Main,Harvest,Cassava,3831.0,30099.0,7.856695379796398
Togo,Centre,Blitta,2019,Main,Harvest,Groundnuts (In Shell),704.0,400.0,0.5681818181818182
Togo,Centre,Blitta,2019,Main,Harvest,Maize (Corn),19799.0,29436.0,1.4867417546340724
Togo,Centre,Blitta,2019,Main,Harvest,Millet,4813.0,6016.0,1.2499480573446915
Togo,Centre,Blitta,2019,Main,Harvest,Sorghum,15821.0,13020.0,0.8229568295303711
Togo,Centre,Blitta,2019,Main,Harvest,Soybean (unspecified),2405.0,1306.0,0.5430353430353431
